LAUS_Area_Code,State,County,Area_Title,,Period,Civilian_Labor_Force,Employed,Unemployed_level,Unemployed_rate,early
CN0100100000000,1,1,Autauga County, AL,10/1/2020,26159,25261,898,3.4,1
CN0100300000000,1,3,Baldwin County, AL,10/1/2020,96392,92631,3761,3.9,1
CN0100500000000,1,5,Barbour County, AL,10/1/2020,8689,8090,599,6.9,1
CN0100700000000,1,7,Bibb County, AL,10/1/2020,8685,8290,395,4.5,1
CN0100900000000,1,9,Blount County, AL,10/1/2020,25006,24350,656,2.6,1
CN0101100000000,1,11,Bullock County, AL,10/1/2020,5023,4771,252,5,1
CN0101300000000,1,13,Butler County, AL,10/1/2020,9113,8469,644,7.1,1
CN0101500000000,1,15,Calhoun County, AL,10/1/2020,46515,44179,2336,5,1
CN0101700000000,1,17,Chambers County, AL,10/1/2020,16182,15383,799,4.9,1
CN0101900000000,1,19,Cherokee County, AL,10/1/2020,11728,11403,325,2.8,1
CN0102100000000,1,21,Chilton County, AL,10/1/2020,19824,19169,655,3.3,1
CN0102300000000,1,23,Choctaw County, AL,10/1/2020,4683,4467,216,4.6,1
CN0102500000000,1,25,Clarke County, AL,10/1/2020,7827,7286,541,6.9,1
CN0102700000000,1,27,Clay County, AL,10/1/2020,6204,6020,184,3,1
CN0102900000000,1,29,Cleburne County, AL,10/1/2020,5762,5597,165,2.9,1
CN0103100000000,1,31,Coffee County, AL,10/1/2020,21692,21021,671,3.1,1
CN0103300000000,1,33,Colbert County, AL,10/1/2020,23991,22969,1022,4.3,1
CN0103500000000,1,35,Conecuh County, AL,10/1/2020,4569,4289,280,6.1,1
CN0103700000000,1,37,Coosa County, AL,10/1/2020,4466,4283,183,4.1,1
CN0103900000000,1,39,Covington County, AL,10/1/2020,15507,14994,513,3.3,1
CN0104100000000,1,41,Crenshaw County, AL,10/1/2020,6409,6170,239,3.7,1
CN0104300000000,1,43,Cullman County, AL,10/1/2020,39172,38146,1026,2.6,1
CN0104500000000,1,45,Dale County, AL,10/1/2020,21117,20344,773,3.7,1
CN0104700000000,1,47,Dallas County, AL,10/1/2020,14667,13360,1307,8.9,1
CN0104900000000,1,49,DeKalb County, AL,10/1/2020,31095,30189,906,2.9,1
CN0105100000000,1,51,Elmore County, AL,10/1/2020,37087,35791,1296,3.5,1
CN0105300000000,1,53,Escambia County, AL,10/1/2020,14585,13901,684,4.7,1
CN0105500000000,1,55,Etowah County, AL,10/1/2020,40730,38591,2139,5.3,1
CN0105700000000,1,57,Fayette County, AL,10/1/2020,6652,6409,243,3.7,1
CN0105900000000,1,59,Franklin County, AL,10/1/2020,14616,14218,398,2.7,1
CN0106100000000,1,61,Geneva County, AL,10/1/2020,11085,10764,321,2.9,1
CN0106300000000,1,63,Greene County, AL,10/1/2020,2987,2724,263,8.8,1
CN0106500000000,1,65,Hale County, AL,10/1/2020,6190,5716,474,7.7,1
CN0106700000000,1,67,Henry County, AL,10/1/2020,6943,6697,246,3.5,1
CN0106900000000,1,69,Houston County, AL,10/1/2020,47132,45156,1976,4.2,1
CN0107100000000,1,71,Jackson County, AL,10/1/2020,23222,22472,750,3.2,1
CN0107300000000,1,73,Jefferson County, AL,10/1/2020,320097,304155,15942,5,1
CN0107500000000,1,75,Lamar County, AL,10/1/2020,5801,5622,179,3.1,1
CN0107700000000,1,77,Lauderdale County, AL,10/1/2020,42811,41346,1465,3.4,1
CN0107900000000,1,79,Lawrence County, AL,10/1/2020,14632,14144,488,3.3,1
CN0108100000000,1,81,Lee County, AL,10/1/2020,78080,75304,2776,3.6,1
CN0108300000000,1,83,Limestone County, AL,10/1/2020,45580,44315,1265,2.8,1
CN0108500000000,1,85,Lowndes County, AL,10/1/2020,3710,3266,444,12,1
CN0108700000000,1,87,Macon County, AL,10/1/2020,8201,7540,661,8.1,1
CN0108900000000,1,89,Madison County, AL,10/1/2020,191523,185064,6459,3.4,1
CN0109100000000,1,91,Marengo County, AL,10/1/2020,7832,7426,406,5.2,1
CN0109300000000,1,93,Marion County, AL,10/1/2020,13288,12811,477,3.6,1
CN0109500000000,1,95,Marshall County, AL,10/1/2020,45188,43958,1230,2.7,1
CN0109700000000,1,97,Mobile County, AL,10/1/2020,194143,182171,11972,6.2,1
CN0109900000000,1,99,Monroe County, AL,10/1/2020,7468,6999,469,6.3,1
CN0110100000000,1,101,Montgomery County, AL,10/1/2020,108592,101369,7223,6.7,1
CN0110300000000,1,103,Morgan County, AL,10/1/2020,59987,58160,1827,3,1
CN0110500000000,1,105,Perry County, AL,10/1/2020,3466,3148,318,9.2,1
CN0110700000000,1,107,Pickens County, AL,10/1/2020,7787,7406,381,4.9,1
CN0110900000000,1,109,Pike County, AL,10/1/2020,15992,15383,609,3.8,1
CN0111100000000,1,111,Randolph County, AL,10/1/2020,9474,9208,266,2.8,1
CN0111300000000,1,113,Russell County, AL,10/1/2020,23663,22780,883,3.7,1
CN0111500000000,1,115,St. Clair County, AL,10/1/2020,40532,39190,1342,3.3,1
CN0111700000000,1,117,Shelby County, AL,10/1/2020,115588,112575,3013,2.6,1
CN0111900000000,1,119,Sumter County, AL,10/1/2020,4894,4634,260,5.3,1
CN0112100000000,1,121,Talladega County, AL,10/1/2020,36768,35037,1731,4.7,1
CN0112300000000,1,123,Tallapoosa County, AL,10/1/2020,17984,17057,927,5.2,1
CN0112500000000,1,125,Tuscaloosa County, AL,10/1/2020,103217,98334,4883,4.7,1
CN0112700000000,1,127,Walker County, AL,10/1/2020,25109,24085,1024,4.1,1
CN0112900000000,1,129,Washington County, AL,10/1/2020,6791,6399,392,5.8,1
CN0113100000000,1,131,Wilcox County, AL,10/1/2020,2884,2514,370,12.8,1
CN0113300000000,1,133,Winston County, AL,10/1/2020,10038,9704,334,3.3,1
CN0201300000000,2,13,Aleutians East Borough, AK,10/1/2020,2701,2649,52,1.9,1
CN0201600000000,2,16,Aleutians West Census Area, AK,10/1/2020,2963,2878,85,2.9,1
CN0202000000000,2,20,Anchorage Borough/municipality, AK,10/1/2020,152130,143315,8815,5.8,1
CN0205000000000,2,50,Bethel Census Area, AK,10/1/2020,6773,6137,636,9.4,1
CN0206000000000,2,60,Bristol Bay Borough, AK,10/1/2020,283,262,21,7.4,1
CN0206800000000,2,68,Denali Borough, AK,10/1/2020,744,668,76,10.2,1
CN0207000000000,2,70,Dillingham Census Area, AK,10/1/2020,1670,1561,109,6.5,1
CN0209000000000,2,90,Fairbanks North Star Borough, AK,10/1/2020,45640,43495,2145,4.7,1
CN0210000000000,2,100,Haines Borough, AK,10/1/2020,963,863,100,10.4,1
CN0210500000000,2,105,Hoonah-Angoon Census Area, AK,10/1/2020,994,893,101,10.2,1
CN0211000000000,2,110,Juneau Borough/city, AK,10/1/2020,16924,16089,835,4.9,1
CN0212200000000,2,122,Kenai Peninsula Borough, AK,10/1/2020,26662,24767,1895,7.1,1
CN0213000000000,2,130,Ketchikan Gateway Borough, AK,10/1/2020,6628,6176,452,6.8,1
CN0215000000000,2,150,Kodiak Island Borough, AK,10/1/2020,6020,5789,231,3.8,1
CN0215800000000,2,158,Kusilvak Census Area, AK,10/1/2020,2481,2173,308,12.4,1
CN0216400000000,2,164,Lake and Peninsula Borough, AK,10/1/2020,666,620,46,6.9,1
CN0217000000000,2,170,Matanuska-Susitna Borough, AK,10/1/2020,48662,45766,2896,6,1
CN0218000000000,2,180,Nome Census Area, AK,10/1/2020,3944,3641,303,7.7,1
CN0218500000000,2,185,North Slope Borough, AK,10/1/2020,2906,2732,174,6,1
CN0218800000000,2,188,Northwest Arctic Borough, AK,10/1/2020,3010,2742,268,8.9,1
CN0219500000000,2,195,Petersburg Borough, AK,10/1/2020,1311,1232,79,6,1
CN0219800000000,2,198,Prince of Wales-Hyder Census Area, AK,10/1/2020,2868,2691,177,6.2,1
CN0222000000000,2,220,Sitka Borough/city, AK,10/1/2020,4081,3884,197,4.8,1
CN0223000000000,2,230,Skagway Municipality, AK,10/1/2020,616,522,94,15.3,1
CN0224000000000,2,240,Southeast Fairbanks Census Area, AK,10/1/2020,2872,2718,154,5.4,1
CN0226100000000,2,261,Valdez-Cordova Census Area, AK,10/1/2020,4502,4203,299,6.6,1
CN0227500000000,2,275,Wrangell Borough/city, AK,10/1/2020,997,943,54,5.4,1
CN0228200000000,2,282,Yakutat Borough/city, AK,10/1/2020,237,221,16,6.8,1
CN0229000000000,2,290,Yukon-Koyukuk Census Area, AK,10/1/2020,2276,2101,175,7.7,1
CN0400100000000,4,1,Apache County, AZ,10/1/2020,19795,17785,2010,10.2,1
CN0400300000000,4,3,Cochise County, AZ,10/1/2020,52518,49824,2694,5.1,1
